model_name,split,event_id,num_timesteps,total_inches,bin
Model_1,test,73,157,4.3,4-6
Model_1,train,74,94,1.9567,0-2
Model_1,test,75,157,4.86,4-6
Model_1,train,76,445,4.84,4-6
Model_1,train,77,97,2.4233,2-4
Model_1,train,78,94,2.6067,2-4
Model_1,train,79,205,5.46,4-6
Model_1,test,80,397,6.59,6-8
Model_1,test,81,397,4.84,4-6
Model_1,train,82,205,4.65,4-6
Model_1,test,83,49,1.26,0-2
Model_1,train,84,205,3.3517,2-4
Model_1,train,85,445,4.84,4-6
Model_1,train,86,445,4.87,4-6
Model_1,train,87,94,1.9933,0-2
Model_1,test,88,157,5.925,4-6
Model_1,train,89,205,4.8833,4-6
Model_1,train,90,97,2.1733,2-4
Model_1,train,91,205,3.665,2-4
Model_1,train,92,205,5.2567,4-6
Model_1,train,93,97,1.7643,0-2
Model_1,train,94,97,1.7833,0-2
Model_1,train,95,205,5.7983,4-6
Model_1,train,96,205,5.71,4-6
Model_1,test,97,397,6.58,6-8
Model_2,train,1,97,1.64,0-2
Model_2,train,2,205,3.115,2-4
Model_2,train,3,205,2.75,2-4
Model_2,test,4,409,9.8,8-10
Model_2,train,5,205,3.1217,2-4
Model_2,train,6,97,0.7333,0-2
Model_2,train,7,205,4.35,4-6
Model_2,test,8,409,9.76,8-10
Model_2,train,9,97,1.3367,0-2
Model_2,train,10,205,6.1233,6-8
Model_2,train,11,205,4.7733,4-6
Model_2,train,12,445,7.44,6-8
Model_2,train,13,205,3.5117,2-4
Model_2,train,14,97,1.4367,0-2
Model_2,train,15,445,9.78,8-10
Model_2,train,16,445,9.76,8-10
Model_2,test,17,409,9.79,8-10
Model_2,test,18,61,2.0067,2-4
Model_2,train,19,205,3.4283,2-4
Model_2,train,20,445,9.8,8-10
Model_2,train,21,205,4.445,4-6
Model_2,test,22,61,0.8033,0-2
Model_2,train,23,445,7.44,6-8
Model_2,train,24,97,0.8933,0-2
Model_2,train,25,445,7.43,6-8
Model_2,train,26,97,1.7667,0-2
Model_2,train,27,205,6.085,6-8
Model_2,train,28,445,3.79,2-4
Model_2,test,29,61,1.5267,0-2
Model_2,train,30,445,9.8,8-10
Model_2,test,31,61,0.9167,0-2
Model_2,train,32,445,7.43,6-8
Model_2,train,33,445,9.8,8-10
Model_2,train,34,97,1.1067,0-2
Model_2,test,35,409,7.44,6-8
Model_2,train,36,445,3.78,2-4
Model_2,test,37,61,1.28,0-2
Model_2,train,38,205,5.89,4-6
Model_2,train,39,445,3.81,2-4
Model_2,train,40,445,3.78,2-4
Model_2,train,41,445,9.79,8-10
Model_2,test,42,169,4.0883,4-6
Model_2,train,43,205,3.1933,2-4
Model_2,test,44,409,3.76,2-4
Model_2,train,45,97,0.9233,0-2
Model_2,train,46,445,3.8,2-4
Model_2,train,47,445,9.77,8-10
Model_2,train,48,205,3.565,2-4
Model_2,train,49,445,9.78,8-10
Model_2,train,50,445,7.46,6-8
Model_2,test,51,409,7.44,6-8
Model_2,test,52,409,9.76,8-10
Model_2,test,53,61,1.4367,0-2
Model_2,test,54,61,2.14,2-4
Model_2,train,55,205,6.0967,6-8
Model_2,train,56,445,3.78,2-4
Model_2,train,57,205,3.025,2-4
Model_2,train,58,205,3.135,2-4
Model_2,test,59,61,1.0667,0-2
Model_2,test,60,409,7.45,6-8
Model_2,test,61,169,6.1033,6-8
Model_2,test,62,169,5.7683,4-6
Model_2,train,63,97,0.88,0-2
Model_2,train,64,97,0.7033,0-2
Model_2,test,65,409,7.46,6-8
Model_2,test,66,61,2.19,2-4
Model_2,test,67,169,5.9683,4-6
Model_2,train,68,97,1.32,0-2
Model_2,train,69,445,7.44,6-8
Model_2,train,70,97,1.2667,0-2
Model_2,train,71,445,9.77,8-10
Model_2,train,72,97,0.96,0-2
Model_2,test,73,409,3.78,2-4
Model_2,train,74,205,3.1617,2-4
Model_2,train,75,97,0.89,0-2
Model_2,test,76,61,1.11,0-2
Model_2,test,77,409,3.78,2-4
Model_2,train,78,445,7.45,6-8
Model_2,train,79,97,0.6633,0-2
Model_2,train,80,205,6.08,6-8
Model_2,train,81,445,3.8,2-4
Model_2,test,82,409,7.43,6-8
Model_2,train,83,205,4.7767,4-6
Model_2,test,84,409,3.79,2-4
Model_2,train,85,97,1.0333,0-2
Model_2,train,86,205,3.02,2-4
Model_2,train,87,445,3.78,2-4
Model_2,test,88,409,7.43,6-8
Model_2,train,89,205,5.2983,4-6
Model_2,test,90,61,1.8867,0-2
Model_2,train,91,205,3.1433,2-4
Model_2,train,92,97,0.7667,0-2
Model_2,train,93,205,4.7133,4-6
Model_2,train,94,205,3.1767,2-4
Model_2,train,95,97,2.47,2-4
Model_2,train,96,205,6.0667,6-8
Model_2,train,97,97,1.8267,0-2
Model_2,train,98,205,3.1733,2-4
Model_2,test,99,409,3.78,2-4
